,Invoice_ID,Branch,City,Customer_type,Gender,Product_line,Unit_price,Quantity,Tax_5perc,Total,Date,Time,Payment,Cogs,Gross_Inc,Rating
14,829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29,19:21,Cash,713.8,35.69,5.7
15,299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,2019-01-15,16:19,Cash,562.32,28.116,4.5
16,656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,11:03,Credit card,482.51,24.1255,4.6
17,765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.44300000000004,2019-01-01,10:39,Credit card,435.66,21.783,6.9
18,329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,18:00,Credit card,164.01,8.2005,8.6
19,319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,15:30,Ewallet,80.6,4.03,4.4
20,300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,11:24,Ewallet,430.2,21.51,4.8
21,371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197000000000001,277.137,2019-03-05,10:40,Ewallet,263.94,13.197000000000001,5.1
22,273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,12:20,Credit card,66.4,3.32,4.4
23,636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,11:15,Ewallet,172.8,8.64,9.9
24,549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02,17:36,Ewallet,265.89,13.2945,6.0
25,227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.035999999999998,441.756,2019-03-22,19:20,Credit card,420.72,21.035999999999998,8.5
26,649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2019-02-08,15:31,Cash,33.52,1.676,6.7
27,189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767000000000001,184.107,2019-03-10,12:17,Credit card,175.34,8.767000000000001,7.7
28,145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,2019-01-25,19:48,Cash,441.8,22.09,9.6
29,848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,15:36,Cash,224.01,11.2005,7.4
30,871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2019-02-25,19:39,Credit card,470.65,23.5325,4.8
31,149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,2019-01-28,12:43,Cash,702.63,35.1315,4.5
32,640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,2019-01-10,14:49,Cash,670.24,33.512,5.1
33,595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.81799999999998,2019-03-15,10:12,Credit card,193.16,9.658,5.1
34,183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,2019-02-06,10:42,Ewallet,397.68,19.884,7.5
35,232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.52600000000001,2019-01-07,12:28,Ewallet,68.12,3.406,6.8
36,129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.755,2019-03-10,19:15,Ewallet,313.1,15.655,7.0
37,272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,2019-01-15,17:17,Ewallet,547.92,27.396,4.7
38,333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968000000000004,461.32800000000003,2019-03-23,13:24,Ewallet,439.36,21.968000000000004,7.6
39,777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,253.00799999999998,2019-03-03,13:01,Cash,240.96,12.048,7.7
40,280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,18:45,Ewallet,86.72,4.336,7.9
41,554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611000000000001,117.831,2019-02-02,10:11,Cash,112.22,5.611000000000001,6.3
42,354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.45599999999996,2019-02-08,13:03,Cash,414.72,20.736,5.6
43,228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,2019-03-04,20:39,Cash,789.6,39.48,7.6
44,617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,32.277,2019-03-16,19:47,Cash,30.74,1.537,7.2
45,132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.63199999999995,2019-03-09,18:00,Cash,375.84,18.792,9.5
46,370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,2019-02-27,17:24,Credit card,510.21,25.5105,8.4
47,727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,2019-02-06,15:47,Ewallet,180.09,9.0045,4.1
48,669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.678999999999999,119.259,2019-02-10,12:45,Credit card,113.58,5.678999999999999,8.1
49,574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,2019-03-19,17:08,Ewallet,826.3,41.315,7.9
50,326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,2019-02-03,10:19,Cash,639.8,31.99,9.5
51,162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,2019-02-10,15:10,Cash,222.95,11.1475,8.5
52,616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,2019-03-22,14:42,Ewallet,71.48,3.574,6.5
53,778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,2019-01-25,15:46,Credit card,15.43,0.7715,6.1
54,242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.6159999999999999,33.936,2019-03-07,11:49,Ewallet,32.32,1.6159999999999999,6.5
55,399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.391999999999996,722.232,2019-02-28,19:01,Cash,687.84,34.391999999999996,8.2
56,106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.11399999999999,2019-03-27,11:26,Cash,88.68,4.434,5.8
57,635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2019-02-07,11:28,Ewallet,716.8,35.84,6.6
58,817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,15:55,Cash,723.5,36.175,5.4
59,120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,2019-03-12,20:36,Cash,183.66,9.183,9.3
60,285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.7110000000000003,77.931,2019-02-15,17:47,Credit card,74.22,3.7110000000000003,10.0
61,803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,2019-02-24,10:55,Ewallet,334.38,16.719,7.0
62,347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2019-02-03,13:40,Ewallet,495.63,24.7815,10.0
63,199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,2019-03-06,12:27,Credit card,158.1,7.905,8.6
64,853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,318.108,2019-02-14,14:35,Cash,302.96,15.148,7.6
65,877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.635,2019-03-13,16:40,Cash,158.7,7.935,5.8
66,838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,70.28699999999999,2019-02-10,15:43,Ewallet,66.94,3.347,6.7
67,109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,2019-01-07,15:01,Ewallet,585.66,29.283,9.9
68,232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,2019-01-24,10:04,Cash,787.7,39.385,6.4
69,382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2019-02-02,18:50,Cash,18.33,0.9165,4.3
70,393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,2019-01-06,12:46,Credit card,894.8,44.74,9.6
71,796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,16:19,Cash,621.2,31.06,5.9
72,510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,2019-03-05,18:17,Ewallet,145.56,7.278,4.0
73,841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773000000000003,478.233,2019-03-09,18:21,Cash,455.46,22.773000000000003,8.7
74,287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,10:55,Ewallet,672.03,33.6015,9.4
75,732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,2019-01-13,17:04,Credit card,416.5,20.825,5.4
76,263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.42800000000005,2019-01-09,14:20,Credit card,441.36,22.068,8.6
77,381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,15:48,Credit card,180.09,9.0045,5.7
78,829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,2019-03-05,16:24,Ewallet,783.1,39.155,6.6
79,756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,106.995,2019-01-22,18:56,Cash,101.9,5.095,6.0
80,870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.756999999999998,624.8969999999999,2019-01-21,14:42,Credit card,595.14,29.756999999999998,5.5
81,847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.54200000000003,2019-01-26,19:56,Ewallet,290.04,14.502,6.4
82,480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,2019-01-23,18:37,Ewallet,154.0,7.7,6.6
83,787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.51199999999994,2019-02-23,18:45,Credit card,321.44,16.072,8.3
84,360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,2019-03-09,10:17,Cash,244.55,12.2275,6.6
85,730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.070999999999998,610.491,2019-03-05,14:31,Ewallet,581.42,29.070999999999998,4.0
86,362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,2019-03-25,10:23,Cash,382.6,19.13,9.9
87,633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.94300000000004,2019-03-27,20:35,Credit card,345.66,17.283,7.3
88,504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,16:57,Cash,42.47,2.1235,5.7
89,318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.096999999999998,485.037,2019-02-27,17:55,Cash,461.94,23.096999999999998,6.1
90,565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.99599999999998,2019-01-23,10:25,Cash,189.52,9.476,7.1
91,225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,2019-01-26,19:54,Ewallet,448.6,22.43,8.2
92,873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,2019-01-10,16:42,Ewallet,153.86,7.693,5.1
93,152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.202,2019-03-12,12:09,Credit card,579.24,28.962,8.6
94,512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,2019-02-06,20:05,Credit card,89.75,4.4875,6.6
95,594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.8580000000000005,102.01799999999999,2019-03-08,20:38,Ewallet,97.16,4.8580000000000005,7.2
96,766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.635,2019-03-29,10:25,Ewallet,878.7,43.935,5.1
97,871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,2019-02-09,13:11,Cash,74.7,3.735,4.1
98,865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,2019-03-23,10:16,Ewallet,158.25,7.9125,9.3
99,733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,18:14,Cash,496.2,24.81,7.4
100,163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,2019-03-26,19:20,Cash,48.71,2.4355,4.1
101,189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,2019-03-01,13:22,Cash,706.95,35.3475,7.2
102,551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,2019-02-01,11:27,Cash,207.63,10.3815,4.9
103,212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.477999999999998,367.038,2019-03-28,16:44,Cash,349.56,17.477999999999998,9.9
104,716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,2019-03-19,18:19,Cash,212.45,10.6225,8.0
105,704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,14:50,Ewallet,886.7,44.335,7.3
106,628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.49400000000003,2019-01-05,20:54,Credit card,164.28,8.214,7.9
107,630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,391.41900000000004,2019-03-22,20:19,Cash,372.78,18.639,7.4
108,588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.290999999999999,321.111,2019-03-24,10:43,Cash,305.82,15.290999999999999,4.2
109,861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,860.685,2019-03-03,14:30,Cash,819.7,40.985,9.2
110,479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,2019-02-05,11:32,Ewallet,32.98,1.649,4.6
111,210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,2019-02-05,10:41,Credit card,294.63,14.7315,7.8
112,227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,2019-02-15,12:44,Cash,509.88,25.494,8.4
113,645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,2019-01-19,20:07,Ewallet,522.63,26.1315,4.3
114,237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2019-02-01,20:31,Credit card,727.11,36.3555,9.5
115,225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,2019-03-02,13:01,Credit card,81.06,4.053,7.1
116,291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,115.185,2019-03-05,12:29,Ewallet,109.7,5.485,5.3
117,659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,53.928000000000004,2019-01-16,15:26,Ewallet,51.36,2.568,5.2
118,642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,20:48,Ewallet,109.6,5.48,6.0
119,378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.343999999999999,112.22399999999999,2019-01-20,20:38,Ewallet,106.88,5.343999999999999,4.1
120,638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,2019-02-14,17:03,Credit card,796.48,39.824,5.2
121,659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,419.832,2019-01-12,12:02,Credit card,399.84,19.992,6.5
122,219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,944.622,2019-03-09,17:26,Credit card,899.64,44.982,4.2
123,336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,2019-03-13,19:52,Credit card,511.28,25.564,4.6
124,268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.348,2019-03-09,14:57,Ewallet,451.76,22.588,7.3
125,668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,2019-03-10,18:44,Credit card,655.83,32.7915,4.5
126,870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,2019-01-27,13:26,Cash,161.25,8.0625,9.0
127,189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,2019-01-08,16:17,Credit card,285.57,14.2785,5.9
128,663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,2019-01-08,15:57,Ewallet,548.32,27.416,8.5
129,549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,853.1460000000001,2019-02-08,11:15,Ewallet,812.52,40.626,7.2
130,191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,2019-01-25,13:18,Cash,277.34,13.867,7.5
131,802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,2019-03-06,20:34,Cash,552.78,27.639,8.3
132,695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.328,2019-02-10,18:36,Cash,139.36,6.968,7.4
133,590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,26.235,550.935,2019-02-17,14:40,Credit card,524.7,26.235,8.8
134,483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,2019-03-08,16:43,Ewallet,487.8,24.39,5.3
135,597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,2019-02-18,19:39,Cash,270.66,13.533,6.2
136,700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,2019-01-18,20:59,Credit card,131.55,6.5775,8.8
137,354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.325999999999999,216.84599999999998,2019-02-18,15:39,Cash,206.52,10.325999999999999,9.8
138,241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,545.055,2019-02-16,12:21,Cash,519.1,25.955,8.2
139,575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,29.0,609.0,2019-03-16,19:25,Ewallet,580.0,29.0,9.2
140,731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,2019-01-23,13:00,Credit card,898.0,44.9,5.4
141,280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,2019-01-25,13:48,Cash,905.0,45.25,8.1
142,338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,2019-02-05,19:57,Cash,686.0,34.3,9.1
143,488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,2019-02-22,10:36,Credit card,30.41,1.5205,8.4
144,239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,2019-01-21,16:37,Ewallet,467.7,23.385,8.0
145,458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.878,291.438,2019-03-08,17:11,Credit card,277.56,13.878,9.5
146,685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2019-02-10,12:28,Ewallet,301.4,15.07,9.2
147,568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.228,277.788,2019-03-19,12:46,Credit card,264.56,13.228,5.6
148,262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,2019-03-06,15:07,Credit card,574.88,28.744,6.2
149,238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,12.984000000000002,272.664,2019-03-27,13:48,Credit card,259.68,12.984000000000002,4.9
150,608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,18.308,384.468,2019-03-23,19:20,Credit card,366.16,18.308,4.8
151,584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.095999999999998,254.016,2019-03-11,16:07,Credit card,241.92,12.095999999999998,7.3
152,746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,2019-01-29,11:56,Credit card,749.16,37.458,7.4
153,214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.944,103.824,2019-02-07,18:23,Ewallet,98.88,4.944,9.9
154,400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.388000000000005,680.148,2019-01-28,13:05,Cash,647.76,32.388000000000005,9.3
155,782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5,23.0725,484.5225,2019-02-20,15:55,Credit card,461.45,23.0725,9.0
156,279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,2019-01-04,19:40,Cash,72.17,3.6085,6.1
157,307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,2019-03-07,13:58,Ewallet,251.4,12.57,9.7
158,743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9,43.748999999999995,918.7289999999999,2019-03-30,14:43,Ewallet,874.98,43.748999999999995,6.0
159,423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6,28.017,588.357,2019-03-27,19:18,Ewallet,560.34,28.017,10.0
160,894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,17.272000000000002,362.712,2019-01-19,19:39,Credit card,345.44,17.272000000000002,8.3
161,275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,2019-02-25,16:21,Cash,63.69,3.1845,6.0
162,101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,16.0265,336.5565,2019-03-13,19:44,Credit card,320.53,16.0265,7.0
163,423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,160.44,2019-01-30,19:42,Ewallet,152.8,7.64,6.5
164,548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10,19.95,418.95,2019-02-20,15:24,Credit card,399.0,19.95,5.9
165,505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,8,17.028,357.588,2019-02-25,14:12,Ewallet,340.56,17.028,5.6
168,796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6,15.384,323.064,2019-01-19,16:31,Cash,307.68,15.384,6.5
169,105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,24.331999999999997,510.972,2019-02-01,15:10,Credit card,486.64,24.331999999999997,8.5
170,249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,2019-01-03,11:36,Ewallet,350.05,17.5025,5.5
171,316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05,5,20.0125,420.2625,2019-01-26,12:45,Credit card,400.25,20.0125,9.4
172,733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,8.34,175.14,2019-03-03,19:17,Cash,166.8,8.34,6.3
173,608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89,6,15.867,333.207,2019-01-19,17:34,Credit card,317.34,15.867,9.8
174,414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79,8,7.916,166.236,2019-01-18,12:04,Ewallet,158.32,7.916,8.7
175,827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.84,9,15.228,319.788,2019-03-21,16:21,Ewallet,304.56,15.228,8.8
176,175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8,8.868,186.22799999999998,2019-03-03,17:01,Credit card,177.36,8.868,9.6
177,139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,7.8785,165.4485,2019-02-13,10:50,Credit card,157.57,7.8785,4.8
178,407-63-8975,A,Yangon,Normal,Male,Food and beverages,73.88,6,22.164,465.444,2019-03-23,19:16,Ewallet,443.28,22.164,4.4
179,342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.8,3,13.02,273.42,2019-01-28,16:47,Ewallet,260.4,13.02,9.9
180,130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,22.491,472.311,2019-02-09,10:00,Cash,449.82,22.491,5.7
181,434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,38.47,8,15.388,323.14799999999997,2019-01-23,11:51,Cash,307.76,15.388,7.7
182,851-28-6367,A,Yangon,Member,Male,Sports and travel,15.5,10,7.75,162.75,2019-03-23,10:55,Ewallet,155.0,7.75,8.0
