QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,,,,,CITY,,,COUNTRY,,,,DEALSIZE
47,100,6,9064.89,12-05-2003 00:00,Shipped,4,12,2003,Classic Cars,214,S10_1949,,,,,Vancouver,,,Canada,,,,Large
35,100,3,6075.3,1/29/2004 0:00,Shipped,1,1,2004,Classic Cars,214,S10_1949,,,,,Burbank,,,USA,,,,Medium
29,100,2,6463.23,03-10-2004 00:00,Shipped,1,3,2004,Classic Cars,214,S10_1949,,,,,Cambridge,,,USA,,,,Medium
34,100,9,6120.34,05-04-2004 00:00,Shipped,2,5,2004,Classic Cars,214,S10_1949,,,,,New Haven,,,USA,,,,Medium
32,100,6,7680.64,6/15/2004 0:00,Shipped,2,6,2004,Classic Cars,214,S10_1949,,,,,Minato-ku,,,Japan,,,,Large
21,100,9,4905.39,7/19/2004 0:00,Shipped,3,7,2004,Classic Cars,214,S10_1949,,,,,Chatswood,,,Australia,,,,Medium
34,100,2,8014.82,8/17/2004 0:00,Shipped,3,8,2004,Classic Cars,214,S10_1949,,,,,Torino,,,Italy,,,,Large
37,100,11,7136.19,09-08-2004 00:00,Shipped,3,9,2004,Classic Cars,214,S10_1949,,,,,Boras,,,Sweden,,,,Large
47,100,6,10172.7,10-11-2004 00:00,Shipped,4,10,2004,Classic Cars,214,S10_1949,,,,,Versailles,,,France,,,,Large
48,100,3,11623.7,10/21/2004 0:00,Shipped,4,10,2004,Classic Cars,214,S10_1949,,,,,San Rafael,,,USA,,,,Large
40,100,1,6000.4,11-04-2004 00:00,Shipped,4,11,2004,Classic Cars,214,S10_1949,,,,,Nashua,,,USA,,,,Medium
26,100,3,3003,11/18/2004 0:00,Shipped,4,11,2004,Classic Cars,214,S10_1949,,,,,San Francisco,,,USA,,,,Medium
30,100,1,3944.7,11/29/2004 0:00,Shipped,4,11,2004,Classic Cars,214,S10_1949,,,,,Melbourne,,,Australia,,,,Medium
32,100,10,5691.84,12-10-2004 00:00,Shipped,4,12,2004,Classic Cars,214,S10_1949,,,,,San Rafael,,,USA,,,,Medium
41,100,2,4514.92,1/20/2005 0:00,Shipped,1,1,2005,Classic Cars,214,S10_1949,,,,,Brickhaven,,,USA,,,,Medium
36,100,3,8254.8,2/17/2005 0:00,Shipped,1,2,2005,Classic Cars,214,S10_1949,,,,,San Francisco,,,USA,,,,Large
24,100,4,2416.56,03-09-2005 00:00,Shipped,1,3,2005,Classic Cars,214,S10_1949,,,,,North Sydney,,,Australia,,,,Small
23,100,9,4140.23,05-01-2005 00:00,Shipped,2,5,2005,Classic Cars,214,S10_1949,,,,,Montreal,,,Canada,,,,Medium
50,100,6,12001,5/31/2005 0:00,In Process,2,5,2005,Classic Cars,214,S10_1949,,,,,Madrid,,,Spain,,,,Large
39,99.91,5,3896.49,2/24/2003 0:00,Shipped,1,2,2003,Motorcycles,118,S10_2016,,,,,NYC,,,USA,,,,Medium
29,96.34,3,2793.86,4/29/2003 0:00,Shipped,2,4,2003,Motorcycles,118,S10_2016,,,,,Melbourne,,,Australia,,,,Small
27,100,5,3307.77,07-01-2003 00:00,Shipped,3,7,2003,Motorcycles,118,S10_2016,,,,,Paris,,,France,,,,Medium
37,100,9,5192.95,8/25/2003 0:00,Shipped,3,8,2003,Motorcycles,118,S10_2016,,,,,Pasadena,,,USA,,,,Medium
37,100,17,5016.83,10-10-2003 00:00,Shipped,4,10,2003,Motorcycles,118,S10_2016,,,,,San Francisco,,,USA,,,,Medium
27,100,4,3660.93,10/28/2003 0:00,Shipped,4,10,2003,Motorcycles,118,S10_2016,,,,,Burlingame,,,USA,,,,Medium
42,100,12,4695.6,11-11-2003 00:00,Shipped,4,11,2003,Motorcycles,118,S10_2016,,,,,Lille,,,France,,,,Medium
38,96.34,4,3660.92,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles,118,S10_2016,,,,,Bergen,,,Norway,,,,Medium
24,100,5,3025.92,12-01-2003 00:00,Shipped,4,12,2003,Motorcycles,118,S10_2016,,,,,San Francisco,,,USA,,,,Medium
23,100,2,3009.09,01-12-2004 00:00,Shipped,1,1,2004,Motorcycles,118,S10_2016,,,,,Osaka,,,Japan,,,,Medium
47,100,4,5422.39,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,118,S10_2016,,,,,Melbourne,,,Australia,,,,Medium
22,100,1,2852.08,04-03-2004 00:00,Shipped,2,4,2004,Motorcycles,118,S10_2016,,,,,Philadelphia,,,USA,,,,Small
44,100,5,5756.52,5/18/2004 0:00,Shipped,2,5,2004,Motorcycles,118,S10_2016,,,,,Newark,,,USA,,,,Medium
40,100,5,4472,6/28/2004 0:00,Shipped,2,6,2004,Motorcycles,118,S10_2016,,,,,Bridgewater,,,USA,,,,Medium
22,100,4,2904.44,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles,118,S10_2016,,,,,Nantes,,,France,,,,Small
47,100,9,6484.59,8/27/2004 0:00,Shipped,3,8,2004,Motorcycles,118,S10_2016,,,,,Cambridge,,,USA,,,,Medium
39,96.34,1,3757.26,9/27/2004 0:00,Shipped,3,9,2004,Motorcycles,118,S10_2016,,,,,Nantes,,,France,,,,Medium
34,100,2,4043.96,10/15/2004 0:00,Shipped,4,10,2004,Motorcycles,118,S10_2016,,,,,White Plains,,,USA,,,,Medium
45,100,4,5566.5,11-02-2004 00:00,Shipped,4,11,2004,Motorcycles,118,S10_2016,,,,,Allentown,,,USA,,,,Medium
20,100,2,3176,11/15/2004 0:00,Shipped,4,11,2004,Motorcycles,118,S10_2016,,,,,NYC,,,USA,,,,Medium
40,68.92,4,2756.8,11/23/2004 0:00,Shipped,4,11,2004,Motorcycles,118,S10_2016,,,,,Minato-ku,,,Japan,,,,Small
26,51.15,8,1329.9,12/17/2004 0:00,Shipped,4,12,2004,Motorcycles,118,S10_2016,,,,,Chatswood,,,Australia,,,,Small
39,100,5,5288.01,02-02-2005 00:00,Shipped,1,2,2005,Motorcycles,118,S10_2016,,,,,South Brisbane,,,Australia,,,,Medium
50,44.51,5,2225.5,03-03-2005 00:00,Shipped,1,3,2005,Motorcycles,118,S10_2016,,,,,New Bedford,,,USA,,,,Small
45,100,1,5833.8,04-07-2005 00:00,Shipped,2,4,2005,Motorcycles,118,S10_2016,,,,,Paris,,,France,,,,Medium
45,100,5,5887.35,5/13/2005 0:00,Disputed,2,5,2005,Motorcycles,118,S10_2016,,,,,Madrid,,,Spain,,,,Medium
27,100,4,6065.55,2/24/2003 0:00,Shipped,1,2,2003,Motorcycles,193,S10_4698,,,,,NYC,,,USA,,,,Medium
46,100,2,9264.86,4/29/2003 0:00,Shipped,2,4,2003,Motorcycles,193,S10_4698,,,,,Melbourne,,,Australia,,,,Large
31,100,4,7023.98,07-01-2003 00:00,Shipped,3,7,2003,Motorcycles,193,S10_4698,,,,,Paris,,,France,,,,Large
33,100,8,5176.38,8/25/2003 0:00,Shipped,3,8,2003,Motorcycles,193,S10_4698,,,,,Pasadena,,,USA,,,,Medium
22,100,16,4132.7,10-10-2003 00:00,Shipped,4,10,2003,Motorcycles,193,S10_4698,,,,,San Francisco,,,USA,,,,Medium
20,100,3,4183,10/28/2003 0:00,Shipped,4,10,2003,Motorcycles,193,S10_4698,,,,,Burlingame,,,USA,,,,Medium
41,100,11,8892.9,11-11-2003 00:00,Shipped,4,11,2003,Motorcycles,193,S10_4698,,,,,Lille,,,France,,,,Large
45,100,3,8714.7,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles,193,S10_4698,,,,,Bergen,,,Norway,,,,Large
49,100,4,8065.89,12-01-2003 00:00,Shipped,4,12,2003,Motorcycles,193,S10_4698,,,,,San Francisco,,,USA,,,,Large
34,100,1,6123.4,01-12-2004 00:00,Shipped,1,1,2004,Motorcycles,193,S10_4698,,,,,Osaka,,,Japan,,,,Medium
49,100,3,9774.03,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,193,S10_4698,,,,,Melbourne,,,Australia,,,,Large
39,100,9,7023.9,04-05-2004 00:00,Shipped,2,4,2004,Motorcycles,193,S10_4698,,,,,NYC,,,USA,,,,Large
43,100,4,7078.23,5/18/2004 0:00,Shipped,2,5,2004,Motorcycles,193,S10_4698,,,,,Newark,,,USA,,,,Large
41,100,4,8336.94,6/28/2004 0:00,Shipped,2,6,2004,Motorcycles,193,S10_4698,,,,,Bridgewater,,,USA,,,,Large
36,100,3,6901.92,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles,193,S10_4698,,,,,Nantes,,,France,,,,Medium
27,100,8,5438.07,8/27/2004 0:00,Shipped,3,8,2004,Motorcycles,193,S10_4698,,,,,Cambridge,,,USA,,,,Medium
29,100,11,6683.34,9/30/2004 0:00,Shipped,3,9,2004,Motorcycles,193,S10_4698,,,,,Helsinki,,,Finland,,,,Medium
20,100,1,4570.4,10/15/2004 0:00,Shipped,4,10,2004,Motorcycles,193,S10_4698,,,,,White Plains,,,USA,,,,Medium
37,100,3,7667.14,11-02-2004 00:00,Shipped,4,11,2004,Motorcycles,193,S10_4698,,,,,Allentown,,,USA,,,,Large
26,100,3,5868.2,11/15/2004 0:00,Shipped,4,11,2004,Motorcycles,193,S10_4698,,,,,NYC,,,USA,,,,Medium
39,76.67,3,2990.13,11/23/2004 0:00,Shipped,4,11,2004,Motorcycles,193,S10_4698,,,,,Minato-ku,,,Japan,,,,Small
22,100,4,3664.1,01-05-2005 00:00,Shipped,1,1,2005,Motorcycles,193,S10_4698,,,,,Burlingame,,,USA,,,,Medium
22,100,1,3834.38,02-02-2005 00:00,Shipped,1,2,2005,Motorcycles,193,S10_4698,,,,,South Brisbane,,,Australia,,,,Medium
21,86.77,7,1822.17,03-03-2005 00:00,Shipped,1,3,2005,Motorcycles,193,S10_4698,,,,,New Bedford,,,USA,,,,Small
66,100,9,11886.6,04-08-2005 00:00,Shipped,2,4,2005,Motorcycles,193,S10_4698,,,,,Liverpool,,,UK,,,,Large
56,100,4,9218.16,5/13/2005 0:00,Disputed,2,5,2005,Motorcycles,193,S10_4698,,,,,Madrid,,,Spain,,,,Large
50,100,2,7208,02-11-2003 00:00,Shipped,1,2,2003,Classic Cars,136,S10_4757,,,,,Kobenhavn,,,Denmark,,,,Large
46,100,11,5004.8,4/28/2003 0:00,Shipped,2,4,2003,Classic Cars,136,S10_4757,,,,,Salzburg,,,Austria,,,,Medium
33,100,2,4398.24,06-12-2003 00:00,Shipped,2,6,2003,Classic Cars,136,S10_4757,,,,,London,,,UK,,,,Medium
49,100,15,5597.76,08-10-2003 00:00,Shipped,3,8,2003,Classic Cars,136,S10_4757,,,,,New Bedford,,,USA,,,,Medium
32,100,13,4526.08,10-06-2003 00:00,Shipped,4,10,2003,Classic Cars,136,S10_4757,,,,,Helsinki,,,Finland,,,,Medium
44,100,9,5924.16,10/23/2003 0:00,Cancelled,4,10,2003,Classic Cars,136,S10_4757,,,,,Boras,,,Sweden,,,,Medium
24,100,12,3492.48,11-08-2003 00:00,Shipped,4,11,2003,Classic Cars,136,S10_4757,,,,,Toulouse,,,France,,,,Medium
26,100,9,3854.24,11/14/2003 0:00,Shipped,4,11,2003,Classic Cars,136,S10_4757,,,,,London,,,UK,,,,Medium
45,100,6,5324.4,11/26/2003 0:00,Shipped,4,11,2003,Classic Cars,136,S10_4757,,,,,Barcelona,,,Spain,,,,Medium
39,100,8,5197.92,01-09-2004 00:00,Shipped,1,1,2004,Classic Cars,136,S10_4757,,,,,Los Angeles,,,USA,,,,Medium
49,100,12,5997.6,2/19/2004 0:00,Shipped,1,2,2004,Classic Cars,136,S10_4757,,,,,San Diego,,,USA,,,,Medium
20,100,3,2910.4,05-07-2004 00:00,Cancelled,2,5,2004,Classic Cars,136,S10_4757,,,,,NYC,,,USA,,,,Small
27,100,1,3378.24,6/17/2004 0:00,Shipped,2,6,2004,Classic Cars,136,S10_4757,,,,,Montreal,,,Canada,,,,Medium
30,100,4,3508.8,7/21/2004 0:00,Shipped,3,7,2004,Classic Cars,136,S10_4757,,,,,Bruxelles,,,Belgium,,,,Medium
25,100,6,2992,8/20/2004 0:00,Shipped,3,8,2004,Classic Cars,136,S10_4757,,,,,Tsawassen,,,Canada,,,,Small
24,100,1,3427.2,09-10-2004 00:00,Shipped,3,9,2004,Classic Cars,136,S10_4757,,,,,Boston,,,USA,,,,Medium
22,100,9,2692.8,10/14/2004 0:00,Shipped,4,10,2004,Classic Cars,136,S10_4757,,,,,Philadelphia,,,USA,,,,Small
33,100,17,4128.96,11-01-2004 00:00,Shipped,4,11,2004,Classic Cars,136,S10_4757,,,,,Cowes,,,UK,,,,Medium
47,64.93,6,3051.71,11-05-2004 00:00,Shipped,4,11,2004,Classic Cars,136,S10_4757,,,,,Stavern,,,Norway,,,,Medium
25,48.05,8,1201.25,11/21/2004 0:00,Shipped,4,11,2004,Classic Cars,136,S10_4757,,,,,NYC,,,USA,,,,Small
26,75.47,5,1962.22,12-02-2004 00:00,Shipped,4,12,2004,Classic Cars,136,S10_4757,,,,,Madrid,,,Spain,,,,Small
48,54.68,6,2624.64,12/15/2004 0:00,Shipped,4,12,2004,Classic Cars,136,S10_4757,,,,,Reims,,,France,,,,Small
39,100,3,4046.25,1/31/2005 0:00,Shipped,1,1,2005,Classic Cars,136,S10_4757,,,,,Oulu,,,Finland,,,,Medium
34,100,4,4846.7,2/23/2005 0:00,Shipped,1,2,2005,Classic Cars,136,S10_4757,,,,,San Francisco,,,USA,,,,Medium
32,100,2,3370.56,3/17/2005 0:00,Shipped,1,3,2005,Classic Cars,136,S10_4757,,,,,Paris,,,France,,,,Medium
64,100,9,9661.44,04-01-2005 00:00,Shipped,2,4,2005,Classic Cars,136,S10_4757,,,,,San Jose,,,USA,,,,Large
19,100,3,2764.88,05-06-2005 00:00,On Hold,2,5,2005,Classic Cars,136,S10_4757,,,,,Boston,,,USA,,,,Small
42,100,4,5398.26,1/29/2003 0:00,Shipped,1,1,2003,Classic Cars,147,S10_4962,,,,,Stavern,,,Norway,,,,Medium
31,100,8,4305.28,04-01-2003 00:00,Shipped,2,4,2003,Classic Cars,147,S10_4962,,,,,Paris,,,France,,,,Medium
22,100,4,3347.74,5/28/2003 0:00,Shipped,2,5,2003,Classic Cars,147,S10_4962,,,,,Madrid,,,Spain,,,,Medium
26,100,4,3188.12,7/24/2003 0:00,Shipped,3,7,2003,Classic Cars,147,S10_4962,,,,,Burlingame,,,USA,,,,Medium
20,100,1,3191.2,9/19/2003 0:00,Shipped,3,9,2003,Classic Cars,147,S10_4962,,,,,Singapore,,,Singapore,,,,Medium
21,100,2,3536.82,10/21/2003 0:00,Resolved,4,10,2003,Classic Cars,147,S10_4962,,,,,Graz,,,Austria,,,,Medium
33,100,9,5362.83,11-06-2003 00:00,Shipped,4,11,2003,Classic Cars,147,S10_4962,,,,,London,,,UK,,,,Medium
28,100,1,3433.36,11/13/2003 0:00,Shipped,4,11,2003,Classic Cars,147,S10_4962,,,,,Philadelphia,,,USA,,,,Medium
26,100,4,4263.74,11/25/2003 0:00,Shipped,4,11,2003,Classic Cars,147,S10_4962,,,,,Lyon,,,France,,,,Medium
31,100,15,4076.19,12-09-2003 00:00,Shipped,4,12,2003,Classic Cars,147,S10_4962,,,,,Boston,,,USA,,,,Medium
48,100,4,7020.48,02-04-2004 00:00,Shipped,1,2,2004,Classic Cars,147,S10_4962,,,,,Singapore,,,Singapore,,,,Large
50,100,9,6426.5,03-11-2004 00:00,Shipped,1,3,2004,Classic Cars,147,S10_4962,,,,,San Rafael,,,USA,,,,Medium
28,100,2,4591.72,05-04-2004 00:00,Shipped,2,5,2004,Classic Cars,147,S10_4962,,,,,New Haven,,,USA,,,,Medium
26,100,12,4033.38,6/15/2004 0:00,Shipped,2,6,2004,Classic Cars,147,S10_4962,,,,,Singapore,,,Singapore,,,,Medium
32,100,2,4302.08,7/19/2004 0:00,Shipped,3,7,2004,Classic Cars,147,S10_4962,,,,,Chatswood,,,Australia,,,,Medium
44,100,9,7020.64,8/19/2004 0:00,Shipped,3,8,2004,Classic Cars,147,S10_4962,,,,,Allentown,,,USA,,,,Large
30,100,4,3855.9,09-08-2004 00:00,Shipped,3,9,2004,Classic Cars,147,S10_4962,,,,,Boras,,,Sweden,,,,Medium
38,100,13,6680.78,10/13/2004 0:00,Shipped,4,10,2004,Classic Cars,147,S10_4962,,,,,Cambridge,,,USA,,,,Medium
40,100,7,6678,10/22/2004 0:00,Shipped,4,10,2004,Classic Cars,147,S10_4962,,,,,Vancouver,,,Canada,,,,Medium
46,61.99,8,2851.54,11-04-2004 00:00,Shipped,4,11,2004,Classic Cars,147,S10_4962,,,,,Nashua,,,USA,,,,Small
26,100,2,3188.12,11/19/2004 0:00,On Hold,4,11,2004,Classic Cars,147,S10_4962,,,,,Lule,,,Sweden,,,,Medium
27,100,2,4428,11/29/2004 0:00,Shipped,4,11,2004,Classic Cars,147,S10_4962,,,,,Melbourne,,,Australia,,,,Medium
43,100,9,5780.92,12-10-2004 00:00,Shipped,4,12,2004,Classic Cars,147,S10_4962,,,,,San Rafael,,,USA,,,,Medium
35,65.63,4,2297.05,1/20/2005 0:00,Shipped,1,1,2005,Classic Cars,147,S10_4962,,,,,North Sydney,,,Australia,,,,Small
37,100,6,6231.54,2/17/2005 0:00,Shipped,1,2,2005,Classic Cars,147,S10_4962,,,,,San Francisco,,,USA,,,,Medium
37,46.9,7,1735.3,03-09-2005 00:00,Shipped,1,3,2005,Classic Cars,147,S10_4962,,,,,North Sydney,,,Australia,,,,Small
27,100,2,4427.73,05-01-2005 00:00,Shipped,2,5,2005,Classic Cars,147,S10_4962,,,,,Montreal,,,Canada,,,,Medium
38,100,12,5894.94,5/31/2005 0:00,In Process,2,5,2005,Classic Cars,147,S10_4962,,,,,Nantes,,,France,,,,Medium
33,100,6,5265.15,03-03-2003 00:00,Shipped,1,3,2003,Classic Cars,194,S12_1099,,,,,Makati City,,,Philippines,,,,Medium
42,100,10,7599.9,05-08-2003 00:00,Shipped,2,5,2003,Classic Cars,194,S12_1099,,,,,Marseille,,,France,,,,Large
42,100,7,8008.56,07-02-2003 00:00,Shipped,3,7,2003,Classic Cars,194,S12_1099,,,,,San Rafael,,,USA,,,,Large
48,100,7,9245.76,09-05-2003 00:00,Shipped,3,9,2003,Classic Cars,194,S12_1099,,,,,Brickhaven,,,USA,,,,Large
41,100,2,8296.35,10-10-2003 00:00,Shipped,4,10,2003,Classic Cars,194,S12_1099,,,,,San Francisco,,,USA,,,,Large
30,100,2,5019.9,11-04-2003 00:00,Shipped,4,11,2003,Classic Cars,194,S12_1099,,,,,North Sydney,,,Australia,,,,Medium
27,100,14,5411.07,11-12-2003 00:00,Shipped,4,11,2003,Classic Cars,194,S12_1099,,,,,Bergen,,,Norway,,,,Medium
21,100,3,3840.9,11/20/2003 0:00,Shipped,4,11,2003,Classic Cars,194,S12_1099,,,,,Koln,,,Germany,,,,Medium
20,100,8,3930.4,12-02-2003 00:00,Shipped,4,12,2003,Classic Cars,194,S12_1099,,,,,Madrid,,,Spain,,,,Medium
41,100,2,7498.9,1/15/2004 0:00,Shipped,1,1,2004,Classic Cars,194,S12_1099,,,,,Paris,,,France,,,,Large
27,100,9,4517.91,2/22/2004 0:00,Shipped,1,2,2004,Classic Cars,194,S12_1099,,,,,Gensve,,,Switzerland,,,,Medium
28,100,3,5774.72,04-09-2004 00:00,Shipped,2,4,2004,Classic Cars,194,S12_1099,,,,,Kobenhavn,,,Denmark,,,,Medium
24,100,13,3922.56,06-01-2004 00:00,Cancelled,2,6,2004,Classic Cars,194,S12_1099,,,,,Liverpool,,,UK,,,,Medium
44,100,14,9160.36,07-06-2004 00:00,Shipped,3,7,2004,Classic Cars,194,S12_1099,,,,,Reggio Emilia,,,Italy,,,,Large
50,100,3,9631,08-02-2004 00:00,Shipped,3,8,2004,Classic Cars,194,S12_1099,,,,,Brickhaven,,,USA,,,,Large
21,100,12,3432.24,8/30/2004 0:00,Shipped,3,8,2004,Classic Cars,194,S12_1099,,,,,Gensve,,,Switzerland,,,,Medium
33,100,5,5521.89,10-04-2003 00:00,Shipped,4,10,2003,Classic Cars,194,S12_1099,,,,,Frankfurt,,,Germany,,,,Medium
33,100,10,6934.62,10/16/2004 0:00,Shipped,4,10,2004,Classic Cars,194,S12_1099,,,,,Koln,,,Germany,,,,Medium
31,100,3,6876.11,11-03-2004 00:00,Shipped,4,11,2004,Classic Cars,194,S12_1099,,,,,Lule,,,Sweden,,,,Medium
41,71.47,5,2930.27,11/15/2004 0:00,Shipped,4,11,2004,Classic Cars,194,S12_1099,,,,,NYC,,,USA,,,,Small
45,79.65,2,3584.25,11/24/2004 0:00,Shipped,4,11,2004,Classic Cars,194,S12_1099,,,,,Salzburg,,,Austria,,,,Medium
33,85.39,3,2817.87,01-06-2005 00:00,Shipped,1,1,2005,Classic Cars,194,S12_1099,,,,,Espoo,,,Finland,,,,Small
45,76,7,3420,02-03-2005 00:00,Shipped,1,2,2005,Classic Cars,194,S12_1099,,,,,Nantes,,,France,,,,Medium
26,99.04,4,2575.04,03-03-2005 00:00,Shipped,1,3,2005,Classic Cars,194,S12_1099,,,,,Boras,,,Sweden,,,,Small
12,100,13,1961.28,5/17/2005 0:00,Shipped,2,5,2005,Classic Cars,194,S12_1099,,,,,Salzburg,,,Austria,,,,Small
41,100,15,8690.36,02-11-2003 00:00,Shipped,1,2,2003,Classic Cars,207,S12_1108,,,,,Kobenhavn,,,Denmark,,,,Large
33,100,9,6034.38,4/16/2003 0:00,Shipped,2,4,2003,Classic Cars,207,S12_1108,,,,,Singapore,,,Singapore,,,,Medium
46,100,2,11279.2,06-03-2003 00:00,Shipped,2,6,2003,Classic Cars,207,S12_1108,,,,,NYC,,,USA,,,,Large
33,100,12,8023.29,08-08-2003 00:00,Shipped,3,8,2003,Classic Cars,207,S12_1108,,,,,San Rafael,,,USA,,,,Large
20,100,11,4904,9/28/2003 0:00,Shipped,3,9,2003,Classic Cars,207,S12_1108,,,,,Madrid,,,Spain,,,,Medium
44,100,3,8594.52,10/22/2003 0:00,Shipped,4,10,2003,Classic Cars,207,S12_1108,,,,,Singapore,,,Singapore,,,,Large
33,100,2,7474.5,11-06-2003 00:00,Shipped,4,11,2003,Classic Cars,207,S12_1108,,,,,Reggio Emilia,,,Italy,,,,Large
21,100,13,3883.74,11/14/2003 0:00,Shipped,4,11,2003,Classic Cars,207,S12_1108,,,,,New Bedford,,,USA,,,,Medium
